# I(Q)
#Q (1/A)        I (1/cm)        dI (1/cm)       dQ (1/A)
5.176894E-03	2.312780E+02	1.207633E+01	1.045053E-03
5.344779E-03	2.747741E+02	4.885386E+00	1.056411E-03
5.518107E-03	2.733970E+02	3.689216E+00	1.078962E-03
5.697057E-03	2.449477E+02	2.977946E+00	1.103442E-03
5.881810E-03	2.166844E+02	2.497973E+00	1.112501E-03
6.072555E-03	1.970703E+02	1.911792E+00	1.114802E-03
6.269485E-03	1.848371E+02	1.603554E+00	1.121904E-03
6.472801E-03	1.671893E+02	1.322127E+00	1.137743E-03
6.682711E-03	1.522533E+02	1.133346E+00	1.138075E-03
6.899429E-03	1.381097E+02	9.384258E-01	1.140732E-03
7.123174E-03	1.277439E+02	8.499522E-01	1.135631E-03
7.354175E-03	1.146472E+02	7.124078E-01	1.142540E-03
7.592668E-03	9.950199E+01	5.996551E-01	1.147417E-03
7.838895E-03	8.810717E+01	5.231554E-01	1.153875E-03
8.093106E-03	7.746233E+01	4.531003E-01	1.153712E-03
8.355562E-03	6.798391E+01	3.981270E-01	1.155132E-03
8.626529E-03	5.944955E+01	3.471947E-01	1.165374E-03
8.906284E-03	5.189892E+01	3.101158E-01	1.159868E-03
9.195110E-03	4.608458E+01	2.777369E-01	1.167278E-03
9.493304E-03	4.063474E+01	2.529146E-01	1.167226E-03
9.801167E-03	3.579383E+01	2.270500E-01	1.169080E-03
1.011901E-02	3.093221E+01	2.064046E-01	1.167707E-03
1.044717E-02	2.808167E+01	1.854212E-01	1.171208E-03
1.078597E-02	2.448533E+01	1.708635E-01	1.170443E-03
1.113575E-02	2.214679E+01	1.563329E-01	1.170073E-03
1.149688E-02	1.935633E+01	1.421624E-01	1.170231E-03
1.186972E-02	1.726525E+01	1.299150E-01	1.169574E-03
1.225465E-02	1.530167E+01	1.186644E-01	1.170412E-03
1.265206E-02	1.364659E+01	1.093678E-01	1.170735E-03
1.306236E-02	1.225718E+01	1.005351E-01	1.169734E-03
1.348597E-02	1.093909E+01	9.233998E-02	1.170823E-03
1.392331E-02	9.774416E+00	8.429007E-02	1.169936E-03
1.437484E-02	8.747908E+00	7.741845E-02	1.170139E-03
1.484101E-02	7.783139E+00	7.083747E-02	1.171271E-03
1.532229E-02	7.045796E+00	6.600376E-02	1.170437E-03
1.581919E-02	6.375789E+00	6.164796E-02	1.170189E-03
1.633220E-02	5.777953E+00	5.741032E-02	1.170222E-03
1.686184E-02	5.144165E+00	5.264007E-02	1.170728E-03
1.740866E-02	4.703926E+00	4.940558E-02	1.170567E-03
1.797322E-02	4.265406E+00	4.630808E-02	1.170227E-03
1.855608E-02	3.866415E+00	4.318619E-02	1.171347E-03
1.915785E-02	3.542950E+00	4.085748E-02	1.170387E-03
1.977913E-02	3.210051E+00	3.821369E-02	1.170895E-03
2.042056E-02	2.979083E+00	3.631381E-02	1.171030E-03
2.108279E-02	2.811953E+00	3.454605E-02	1.170879E-03
2.176649E-02	2.516090E+00	3.265429E-02	1.170440E-03
2.247237E-02	2.314116E+00	3.078480E-02	1.171689E-03
2.320114E-02	2.211105E+00	2.975875E-02	1.170527E-03
2.395354E-02	2.029120E+00	2.824545E-02	1.171464E-03
2.473034E-02	1.877975E+00	2.695666E-02	1.171336E-03
2.553234E-02	1.822068E+00	2.582479E-02	1.170873E-03
2.636034E-02	1.650632E+00	2.451915E-02	1.171761E-03
2.721519E-02	1.564499E+00	2.358563E-02	1.171194E-03
2.809777E-02	1.525594E+00	2.265924E-02	1.171740E-03
2.900897E-02	1.419723E+00	2.181620E-02	1.171754E-03
2.994971E-02	1.315528E+00	2.091645E-02	1.171747E-03
3.092097E-02	1.275179E+00	2.026005E-02	1.172156E-03
3.192372E-02	1.221074E+00	1.962714E-02	1.172489E-03
3.295899E-02	1.180530E+00	1.890130E-02	1.174515E-03
3.402784E-02	1.095570E+00	1.822002E-02	1.176279E-03
3.513135E-02	1.061894E+00	1.774091E-02	1.177626E-03
3.627064E-02	1.030683E+00	1.728573E-02	1.178966E-03
3.744688E-02	1.001638E+00	1.685443E-02	1.179439E-03
3.866126E-02	9.800602E-01	1.666945E-02	1.177832E-03
3.991503E-02	9.564111E-01	1.620935E-02	1.176953E-03
4.011470E-02	9.676047E-01	6.478116E-03	4.119973E-03
