q**2,gamma_meV,gamma_meV_err
0.25,7.9713931948200285,0.8305825411001493
0.48999999999999994,0.029,inf
0.81,3.8251034978785095,0.3509245316958521
1.2100000000000002,1.8982868504760064,0.21367050053492231
